B4AFDAE2B9575D4DD0E2C589EBD2D66C,BIOHAZARD 7 resident evil cloud version (JPN),null
F1EA68E1B381574EA810935486D7D1D8,Fossil Hunters (EUR USA),null
BD11EB5B03803636B4591258D1AF6855,Anima - Gate of Memories - The Nameless Chronicles (EUR USA),null
5C040442D978484AF9D1CE35556497B7,OF MICE AND SAND -REVISED- (CHN EUR JPN KOR USA),null
6A9272367B4509CF086BE103E94278D5,THE 麻雀 LITE (JPN),null
873D6D79327D48D2426280315DBAC306,Little Dragons Café (EUR),null
E4BBF7F9DFA2D6FB9650689AAC24D3FD,Dragon Sinker (EUR JPN USA),null
3A7B4BDE7A26E578B4D179ED33545794,シークレットゲーム KILLER QUEEN for Nintendo Switch (JPN),null
1E95E5926F1CB99A87326D927F27B47E,null,Nintendo Switch 系统界面4
F4675A8FB124DC1E97A90484190C1760,Flood of Light (EUR JPN USA),null
985A46398856EDA2CB95DAC50AEEAAC7,Flipping Death (EUR USA),null
8F6AC36373FA21E8D4E3BC7644186C40,Midnight Deluxe (EUR USA),null
CF9226A24E8BAE8D97EE9A6E348101C6,Spellspire (EUR USA),null
269EB843680E67E78CA2C2877EBEB28F,De Mambo (EUR USA),null
F1067438B3EA022B78FE66CDDF52F011,Mugsters (EUR JPN USA),null
FF3DC0CC50E33DEA65489FBE36679C77,戰場女武神４ (CHN JPN KOR),null
20A523D1665010871A3DA4BA27F7B369,League of Evil (EUR USA),null
D1B3DCA6B224AAEBCA9A574D94667793,Winning Post 8 2017 (JPN),null
D93E8B72E78A7C5B386BDD75666FDEB0,욘더 - 클라우드 캐쳐 크로니클 (Yonder - The Cloud Catcher Chronicles) (KOR),null
D97D73B950709B78F237115376A90471,Angels of Death (EUR JPN USA),null
A82AF9DF68DDF410FC805C23D95301A4,ドタバタ調理アクション IT系ラーメン どらす (JPN),null
D5AB138B1A3F48EBCBDC74D0A60BFCB6,Persian Nights - Sands of Wonders (EUR USA),null
25F6496E5201FBE8739B846517C984FD,Knight Terrors (EUR USA),null
1E297A727CD664005026AA8D66AFBE1E,Pirate Pop Plus (EUR USA),null
2FD687E865A376942C33FD9F794E9ACA,1979 Revolution - Black Friday (EUR USA),null
DDFE89762F62AA793E4C4AE9802F7A71,Detention (EUR USA),null
1CE4DF88C91111E31E01836E8F82C98F,The VideoKid (EUR JPN USA),null
98FE2629463ED60672CE50BF891A5D31,Kid Tripp Demo (EUR USA),null
1CA528593A9112595542B3E5B78510B0,MIGHTY GUNVOLT BURST Demo (EUR JPN USA),null
3A9F1635922D9A861F75F65AEE94AAE0,本格AI搭載 大富豪 (JPN),null
D5C3FA594B9A86A90A08EC95B8BBD170,Spy Chameleon (EUR USA),null
C81BE7E20514C73B440CAA8261D4F722,ロマンシング サガ2 (JPN),null
8D0431B7EC842E9F2D1F69F8B6F05255,Oh...Sir! The Insult Simulator (EUR USA),null
